question,answer
What is the largest planet in our solar system?,JUPITER
Which element has the chemical symbol 'O'?,OXYGEN
What is the capital of France?,PARIS
Who developed the theory of relativity?,EINSTEIN
What is the fastest land animal?,CHEETAH
Which ocean is the largest?,PACIFIC
Which is the smallest prime number?,2
Which gas do plants absorb during photosynthesis?,CARBON DIOXIDE
What is the hardest natural substance on Earth?,DIAMOND
Which planet is known as the Red Planet?,MARS
What is the chemical symbol for water?,H2O
What part of the cell contains DNA?,NUCLEUS
Which planet has the most moons?,SATURN
What gas do humans need to survive?,OXYGEN
What is the center of our solar system?,SUN
What is the capital of Japan?,TOKYO
Which is the longest river in the world?,NILE
Mount Everest lies in which mountain range?,HIMALAYAS
Which country has the most population?,CHINA
What is the largest desert in the world?,SAHARA
Who was the first President of the United States?,WASHINGTON
In which year did World War II end?,1945
Who discovered America in 1492?,COLUMBUS
Which empire built the Colosseum?,ROMAN
Who was the first man on the moon?,NEIL ARMSTRONG
How many players are there in a football (soccer) team?,11
Who has won the most Olympic gold medals?,MICHAEL PHELPS
Which country won the FIFA World Cup in 2018?,FRANCE
What sport does Roger Federer play?,TENNIS
How many rings are there in the Olympic logo?,5
Which company created the iPhone?,APPLE
What is the national animal of India?,TIGER
Which language has the most native speakers?,MANDARIN
What is the currency of Japan?,YEN
What instrument has 88 keys?,PIANO
What has keys but can't open locks?,PIANO
I speak without a mouth and hear without ears. What am I?,ECHO
"What comes once in a minute, twice in a moment, but never in a thousand years?",M
What can travel around the world while staying in the same spot?,STAMP
What has a heart that doesn't beat?,ARTICHOKE
"If you have me, you want to share me. If you share me, you don't have me. What am I?",SECRET
What is full of holes but still holds water?,SPONGE
What belongs to you but is used more by others?,NAME
What can be broken but never held?,PROMISE
"Forward I am heavy, but backward I am not. What am I?",TON
What is always in front of you but can't be seen?,THE FUTURE
"What begins with T, ends with T, and has T in it?",TEAPOT
What can fill a room but takes up no space?,LIGHT
"If two's company, and three's a crowd, what are four and five?",NINE
What goes up but never comes down?,AGE
What has many teeth but canâ€™t bite?,A COMB
"I'm tall when I'm young, and I'm short when I'm old. What am I?",CANDLE
What is black and white and read all over?,NEWSPAPER
What has hands but can't clap?,CLOCK
What can you catch but not throw?,COLD
What has an eye but cannot see?,NEEDLE
What has a neck but no head?,BOTTLE
What has a face and two hands but no arms or legs?,CLOCK
"If you drop me I'm sure to crack, but give me a smile and I'll always smile back. What am I?",MIRROR
What has to be broken before you use it?,EGG
"The more there is, the less you see. What is it?",DARKNESS
Who was the first woman to win a Nobel Prize?,Marie Curie
What is the capital city of Australia?,Canberra
Which country hosted the first modern Olympic Games in 1896?,Greece
Who wrote the play "Romeo and Juliet"?,William Shakespeare
In which year did the Berlin Wall fall?,1989
What is the largest continent by land area?,Asia
Who painted the "Mona Lisa"?,Leonardo da Vinci
What is the chemical symbol for the element mercury?,Hg
Which scientist proposed the three laws of motion?,Isaac Newton
What is the longest river in South America?,Amazon River
What is the smallest country in the world by area?,Vatican City
Which planet is closest to the sun?,Mercury
Who was the first Prime Minister of India?,Jawaharlal Nehru
What currency is used in South Africa?,Rand
Which language is the official language of Brazil?,Portuguese
Who discovered penicillin?,Alexander Fleming
What is the capital of Canada?,Ottawa
Which country has the largest Muslim population?,Indonesia
What is the tallest building in the world as of 2025?,Burj Khalifa
Who composed the symphony "Fifth Symphony"?,Ludwig van Beethoven
What year did the Titanic sink?,1912
Who is known as the "Father of Indian Constitution"?,Dr. B.R. Ambedkar
What is the chemical symbol for potassium?,K
Which planet is known as the "Morning Star"?,Venus
Who wrote "The Origin of Species"?,Charles Darwin
What is the largest internal organ in the human body?,Liver
Which country invented paper?,China
What is the freezing point of alcohol in Celsius?,-114
Who discovered the principle of buoyancy?,Archimedes
Which is the smallest bone in the human body?,Stapes (in the ear)
What is the capital of New Zealand?,Wellington
Who developed the first successful polio vaccine?,Jonas Salk
What is the name of the longest mountain range in the world?,Andes
Which gas is used in balloons to make them float?,Helium
What is the SI unit of electric current?,Ampere
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart
I am an odd number. Take away one letter and I become even. What number am I?,Seven
"What comes next in the sequence? 2, 3, 5, 8, 12, 17, ?",23
"A man has 53 socks in his drawer: 21 black, 15 blue, and 17 red. The lights are out and he is picking socks randomly. How many socks must he take to make 100% sure he has a pair?",4
"If you multiply this number by any other number, the answer will always be the same. What number is it?",0
"Mary's father has five daughters - Nana, Nene, Nini, Nono. What is the fifth daughter's name?",Mary
"The more you take, the more you leave behind. What are they?",Footsteps

